score,company_jp,company_en
62,三愛オブリ,San-ai Obbli
62,セブン&アイ,Seven & i
62,NTTファシリティーズ,NTT Facilities
62,セメダイン,Cemedine
62,極洋,Kyokuyo
62,Jオイルミルズ,J-Oil Mills
62,マブチモーター,Mabuchi Motor
62,エステー,S.T. Corporation
62,マンダム,Mandom
62,ダスキン,Duskin
62,伊藤忠食品,ITOCHU-SHOKUHIN
62,サカタのタネ↓,Sakata Seed↓
62,日本農薬↑,Nihon Nohyaku↑
62,ニチアス,NICHIAS
62,内田洋行,Uchida Yoko
62,カカクコム,Kakaku.com
62,三井住友建設↑,Sumitomo Mitsui Construction↑
62,ソースネクスト,Sourcenext
62,サイボウズ,Cybozu
62,Sansan,Sansan
62,ALBERT,ALBERT
62,フェローテック,Ferrotec
62,HENNGE,HENNGE
62,ソニー生命,Sony Life
62,アジア航測,Asia Air Survey
62,日本空港ビルデング,Japan Airport Terminal
62,NTN,NTN
61,日野自動車,Hino Motors
61,日本製紙,Nippon Paper Industries
61,大王製紙,Daio Paper
61,三井E&S,Mitsui E&S
61,日本車輌製造,Nippon Sharyo
61,住友理工,Sumitomo Riko
61,ノリタケ,Noritake
61,豊田合成,Toyoda Gosei
61,東洋合成工業,Toyo Gosei
61,JVCケンウッド,JVCKenwood
61,マクセル,Maxell
61,三菱ロジスネクスト,Mitsubishi Logisnext
61,TOYOTIRE,Toyo Tire
61,東海理化電機↑,Tokai Rika↑
61,フジテック,Fujitec
61,カヤバ,KYB
61,三ツ星ベルト,Mitsuboshi Belting
61,ローランド,Roland
61,アース製薬,Earth Corporation
61,キユーピー,Kewpie
61,エバラ食品工業,Ebara Foods
61,光通信,Hikari Tsushin
61,オリコン,Oricon
61,オークマ,Okuma
61,THK,THK
61,リンナイ,Rinnai
61,イーグル工業,Eagle Industry
61,東海カーボン,Tokai Carbon
61,日本カーボン,Nippon Carbon
61,ミズノ,Mizuno
61,しまむら↑,Shimamura↑
61,太陽誘電,Taiyo Yuden
61,玉井商船↓,Tamai Steamship↓
61,工機HD,Koki Holdings
61,ジャムコ,JAMCO
61,日清紡,Nisshinbo
61,トーヨーカネツ,Toyo Kanetsu
61,パーソルHD,PERSOL HOLDINGS
61,YKK,YKK
61,不二越,Nachi-Fujikoshi
61,淀川製鋼所↓,Yodogawa Steel Works↓
61,合同製鐵,Godo Steel
61,堀場製作所,Horiba
61,ヤマト運輸(総合職)↑,Yamato Transport (General)↑
61,大阪有機化学工業,Osaka Organic Chemical Industry
61,扶桑化学工業,Fuso Chemical
61,日本軽金属↓,Nippon Light Metal↓
61,トクヤマ↓,Tokuyama↓
61,日本パーカライジング,Nihon Parkerizing
61,NISSHA,Nissha
61,新報国マテリアル,Shinhokoku Material
61,応用地質,Oyo Corporation
61,オカムラ,Okamura
60,ダイハツ工業↓,Daihatsu Motor↓
60,岡三証券(OP),Okasan Securities (OP)
60,東海東京証券(OP),Tokai Tokyo Securities (OP)
60,クレディセゾン,Credit Saison
60,OIOI↑,Marui↑
60,上組,Kamigumi
60,ニトリ,Nitori
60,佐川急便(総合職)↑,Sagawa Express (General)↑
60,ヤナセ,YANASE
60,大東建託,Daito Trust Construction
60,タマホーム,Tama Home
60,パナホーム,PanaHome
60,ネクソン,Nexon
60,ガンホー↓,GungHo↓
60,コロプラ,Colopl
60,Sky,Sky
60,南海辰村建設,Nankai Tatsumura Construction
60,京王建設,Keio Construction
60,オープンハウス,Open House
60,楽天銀行,Rakuten Bank
60,朝日生命,Asahi Mutual Life Insurance
60,大樹生命,Taiju Life Insurance
60,タカラスタンダード,Takara Standard
60,ノーリツ,Noritz
60,スタンレー電気,Stanley Electric
60,未来工業,Mirai Industry
60,日本アビオニクス,Nippon Avionics
60,愛三工業↑,Aisan Industry↑
60,東北特殊鋼,Tohoku Steel
60,フルヤ金属,Furuya Metal
60,椿本チエイン↓,Tsubakimoto Chain↓
60,フクシマガリレイ,Fukushima Galilei
60,小田原エンジニアリング,Odawara Engineering
60,第一稀元素化学工業,Daiichi Kigenso Kagaku Kogyo
60,サンケン電気,Sanken Electric
60,三井ハイテック↑,Mitsui High-tec↑
60,ゼリア新薬工業,Zeria Pharmaceutical
60,日本新薬,Nippon Shinyaku
60,日本信号,Nippon Signal
60,スターゼン,Starzen
60,エレコム,Elecom
60,サンゲツ,Sangetsu
60,朝日インテック,Asahi Intecc
60,船井総研,Funai Soken
60,タナベコンサルティング,Tanabe Consulting
